"qseqid","vmr_invert_assoc_score","vmr_invert_assoc_tophit","vmr_tophit_pident","vmr_tophit_evalue","vmr_tophit_length","vhdb_invert_assoc_score","vhdb_invert_assoc_tophit","vhdb_tophit_pident","vhdb_tophit_evalue","vhdb_tophit_length","assignment_rpm","assignment_manual","assignment_vmr","assignment_vhdb","is_core","evidence"
"astro-poty-like_YP_004875339.1_Chilli_ringspot_virus",0,FALSE,49.9,0,2998,0,FALSE,49.9,0,2998,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_006382460.1_Sweet_potato_virus_2",0,FALSE,51.8,0,3009,0,FALSE,51.8,0,3009,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_006493333.1_Sweet_potato_virus_G",0,FALSE,51.3,0,3064,0,FALSE,51.9,0,3062,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_006990077.1_Yam_mild_mosaic_virus",0,FALSE,48.9,0,3009,0,FALSE,48.5,0,3024,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_007697620.1_Sweet_potato_latent_virus",0,FALSE,51.3,0,3085,0,FALSE,51.4,0,3090,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_008240477.1_Habenaria_mosaic_virus",0,FALSE,51.3,0,2911,0,FALSE,51.3,0,2911,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009010942.1_Narcissus_late_season_yellows_virus",0,FALSE,52.1,0,2964,0,FALSE,52.1,0,2964,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009091808.1_Vanilla_distortion_mosaic_virus",0,FALSE,51.4,0,3016,0,FALSE,51.4,0,3016,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009110712.1_Asparagus_virus_1",0,FALSE,52.1,0,2964,0,FALSE,51.3,0,2997,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009259366.1_Wild_onion_symptomless_virus",0,FALSE,52.1,0,2989,0,FALSE,52.1,0,2989,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009272570.1_Callistephus_mottle_virus",0,FALSE,52.6,0,2896,0,FALSE,52.5,0,2968,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009465708.1_Hyacinth_mosaic_virus",0,FALSE,52.6,0,2959,0,FALSE,52.3,0,2943,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009507673.1_Gloriosa_stripe_mosaic_virus",0,FALSE,48.6,0,2911,0,FALSE,48.3,0,2921,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009664775.1_Bottlenose_dolphin_astrovirus_1",0,FALSE,72.6,3.57e-58,117,0,FALSE,55.7,1.44e-187,469,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_APX54983.1_Kalanchoe_mosaic_virus",0,FALSE,54.3,0,2921,0,FALSE,53.1,0,2976,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009666833.1_African_eggplant_mosaic_virus",0,FALSE,51,0,2910,0,FALSE,50.8,0,2964,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_AMR45105.1_Astrovirus_MLB2",0,FALSE,63.4,2.99e-39,112,0,FALSE,55.3,6.97e-191,510,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009154706.1_Astrovirus_Er/SZAL6/HUN/2011",0,FALSE,58.4,1.58e-41,113,0,FALSE,57.9,2.49e-211,480,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009380531.1_Mamastrovirus_2",0,FALSE,58.4,1.97e-37,113,0,FALSE,60.8,1.0299999999999997e-215,482,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009448179.1_Rodent_astrovirus",0,FALSE,50,3.54e-67,250,0,FALSE,46.6,3.509999999999999e-215,939,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009041462.1_Bovine_astrovirus",0,FALSE,51.6,2.57e-71,252,0,FALSE,40.9,3.3199999999999995e-250,1210,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NP_059443.2_Human_astrovirus",0,FALSE,77.8,1.0599999999999999e-57,117,0,FALSE,94.2,0,513,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_006843891.1_Murine_astrovirus",0,FALSE,54.7,5.2e-36,117,0,FALSE,56.3,5.02e-205,496,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_YP_009094053.1_Rabbit_astrovirus_TN/2208/2010",0,FALSE,60.7,3.8299999999999995e-42,117,0,FALSE,57.8,5.3799999999999993e-210,500,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_015935.1_Mouse_astrovirus",0,FALSE,42.1,4.8400000000000004e-27,121,0,FALSE,48.8,9.029999999999999e-163,473,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_024701_Feline_astrovirus_D1",0,FALSE,51.3,9.25e-35,115,0,FALSE,51.3,5.6099999999999996e-191,520,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_025379_Mamastrovirus_3",0,FALSE,78.6,3.44e-59,117,0,FALSE,51.7,6.069999999999999e-296,930,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_024472_Human_astrovirus_BF34",0,FALSE,50,3.6399999999999997e-34,122,0,FALSE,49.2,1.9999999999999996e-176,528,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_023675_Porcine_astrovirus_4",0,FALSE,56.1,5.809999999999999e-34,114,0,FALSE,57.8,6.52e-207,495,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_023674_Porcine_astrovirus_2",0,FALSE,58.3,8.2e-36,115,0,FALSE,56,4.73e-209,500,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_023632_Bovine_astrovirus_B170",0,FALSE,54.9,2.24e-32,113,0,FALSE,57.6,2.38e-210,498,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_022249_Feline_astrovirus_2",0,FALSE,77.8,8.13e-63,117,0,FALSE,55.9,5.88e-206,506,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_019028_Astrovirus_MLB3",0,FALSE,65.2,5.57e-41,112,0,FALSE,54.3,2.81e-190,510,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_019027_Astrovirus_VA4",0,FALSE,54.1,1.3699999999999999e-37,122,0,FALSE,51,2.8799999999999994e-182,527,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_018669_Astrovirus_VA2",0,FALSE,53.3,1.01e-36,122,0,FALSE,51.8,1.64e-179,510,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_016155_Astrovirus_MLB2",0,FALSE,63.4,2.99e-39,112,0,FALSE,55.7,9.879999999999999e-191,510,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_016896_Astrovirus_wild_boar",0,FALSE,54.4,1.15e-30,114,0,FALSE,56,2.1499999999999997e-199,496,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_011400_Astrovirus_MLB1",0,FALSE,62.3,1.54e-39,114,0,FALSE,53.8,8.35e-190,506,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_013060_Astrovirus_VA1",0,FALSE,52.5,9.969999999999999e-35,122,0,FALSE,51.1,4.3999999999999993e-184,519,NA,NA,FALSE,FALSE,FALSE,"VMR"
"astro-poty-like_NC_002469_Ovine_astrovirus",0,FALSE,45.8,1.51e-28,118,0,FALSE,50.3,2.1899999999999996e-182,523,NA,NA,FALSE,FALSE,FALSE,"VMR"
"YP_009551892_Sarawak_virus",NA,NA,NA,NA,NA,2,TRUE,95.9,0,943,NA,NA,NA,TRUE,TRUE,"VHDB"
"AFU34334_Mosquitoe_x_virus",3,TRUE,68,0,996,2,TRUE,68,0,996,NA,NA,TRUE,TRUE,TRUE,"VMR"
"BBO25553_Culex_permutotetra-like_virus",NA,NA,NA,NA,NA,NA,NA,40.4,1.7e-157,663,NA,NA,NA,NA,TRUE,"PROPAGATED_ITER1"
"UHR49837_Sanya_permutotetravirus_1",NA,NA,NA,NA,NA,NA,NA,41.2,2.1099999999999997e-159,730,NA,NA,NA,NA,TRUE,"PROPAGATED_ITER1"
"QQD36920_Aedes_permutotetra-like_virus_1",NA,NA,NA,NA,NA,NA,NA,40.5,2.04e-213,998,NA,NA,NA,NA,TRUE,"PROPAGATED_ITER1"
"UGO57113_Riboviria_sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QOE89200_Aedes_birnavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JMYJCC68862_Jingmen_birna-like_virus_len3293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SZmix18962_Hubei_birna-like_virus_len2895",2,TRUE,45.4,6.9799999999999995e-270,893,0,FALSE,45.4,8.25e-270,893,NA,NA,TRUE,FALSE,TRUE,"VMR"
"ref_NP_690835_Yellowtail_ascites_virus",0,FALSE,46.7,2.2499999999999996e-238,848,0,FALSE,46.7,2.6599999999999994e-238,848,NA,NA,FALSE,FALSE,FALSE,"VMR"
"ref_YP_052864_Blotched_snakehead_virus",0,FALSE,47.4,4.4299999999999993e-246,840,0,FALSE,47.4,2.7700000000000003e-251,838,NA,NA,FALSE,FALSE,FALSE,"VMR"
"ref_NP_690806_Drosophila_x_virus",3,TRUE,68.1,0,999,2,TRUE,68.6,0,999,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_NP_690839_Infectious_bursal_disease_virus",0,FALSE,45.3,1.4799999999999998e-233,844,0,FALSE,46.7,7.08e-236,848,NA,NA,FALSE,FALSE,FALSE,"VMR"
"ref_YP_001514405_Paralichthys_olivaceus_birnavirus",0,FALSE,46.5,1.7999999999999997e-237,848,0,FALSE,46.5,2.1299999999999996e-237,848,NA,NA,FALSE,FALSE,FALSE,"VMR"
"ref_NP_047197_Infectious_pancreatic_necrosis_virus",0,FALSE,46.4,6.179999999999999e-241,845,0,FALSE,46.4,7.309999999999999e-241,845,NA,NA,FALSE,FALSE,FALSE,"VMR"
"ref_YP_605814_Marine_birnavirus",0,FALSE,46.3,3.9299999999999996e-236,848,0,FALSE,46.3,4.65e-236,848,NA,NA,FALSE,FALSE,FALSE,"VMR"
"ref_YP_004956721_Espirito_Santo_virus",3,TRUE,68.5,0,996,2,TRUE,68.5,0,996,NA,NA,TRUE,TRUE,TRUE,"VMR"
"SCJXSX31686_Beihai_permutotetra-like_virus_1_len3238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOU234589_Beihai_permutotetra-like_virus_2_len4208",NA,NA,NA,NA,NA,NA,NA,45.8,4.6e-266,946,NA,NA,NA,NA,NA,NA
"BHTSS17969_Beihai_sphaeromadae_virus_4_len6096",NA,NA,NA,NA,NA,NA,NA,100,0,1311,NA,NA,NA,NA,NA,NA
"mosZJ32939_Hubei_permutotetra-like_virus_1_len4560",NA,NA,NA,NA,NA,NA,TRUE,40.6,2.0599999999999997e-129,591,NA,NA,NA,TRUE,TRUE,"VHDB"
"ZCM16232_Hubei_permutotetra-like_virus_10_len4250",NA,NA,NA,NA,NA,NA,NA,46,2.3300000000000002e-276,986,NA,NA,NA,NA,NA,NA
"mosHB234479_Hubei_permutotetra-like_virus_11_len4775",NA,NA,NA,NA,NA,NA,TRUE,45.7,5.3499999999999996e-270,982,NA,NA,NA,TRUE,TRUE,"VHDB"
"WHYY23891_Hubei_permutotetra-like_virus_2_len4697",NA,NA,NA,NA,NA,NA,NA,41.6,1.15e-162,729,NA,NA,NA,NA,TRUE,"PROPAGATED_ITER1"
"spider127212_Hubei_permutotetra-like_virus_3_len4792",NA,NA,NA,NA,NA,NA,NA,41.7,7.72e-160,707,NA,NA,NA,NA,TRUE,"PROPAGATED_ITER1"
"QTM26287_Hubei_permutotetra-like_virus_4_len4772",NA,NA,NA,NA,NA,NA,TRUE,82.1,0,1117,NA,NA,NA,TRUE,TRUE,"VHDB"
"WHYY24053_Hubei_permutotetra-like_virus_5_len4886",NA,NA,NA,NA,NA,NA,TRUE,40.3,4.08e-211,987,NA,NA,NA,TRUE,TRUE,"VHDB"
"QCM123521_Hubei_permutotetra-like_virus_6_len5394",NA,NA,NA,NA,NA,NA,TRUE,40.1,5.13e-217,974,NA,NA,NA,TRUE,TRUE,"VHDB"
"QTM27196_Hubei_permutotetra-like_virus_7_len4928",NA,NA,NA,NA,NA,NA,NA,100,0,1211,NA,NA,NA,NA,NA,NA
"WHSWHC54546_Hubei_permutotetra-like_virus_8_len5117",NA,NA,NA,NA,NA,NA,NA,100,0,1217,NA,NA,NA,NA,TRUE,"PROPAGATED_ITER1"
"ZCM21318_Hubei_permutotetra-like_virus_9_len5032",NA,NA,NA,NA,NA,NA,NA,100,0,1126,NA,NA,NA,NA,TRUE,"PROPAGATED_ITER1"
"SXSSP2461_Sanxia_permutotetra-like_virus_1_len4650",NA,NA,NA,NA,NA,NA,TRUE,40.3,5.61e-127,608,NA,NA,NA,TRUE,TRUE,"VHDB"
"SXSSP2568_Sanxia_water_strider_virus_19_len4981",NA,NA,NA,NA,NA,NA,NA,100,0,1242,NA,NA,NA,NA,NA,NA
"insectZJ82042_Shuangao_permutotetra-like_virus_1_len2087",2,TRUE,40.4,1.1e-136,656,NA,TRUE,40.4,1.31e-136,656,NA,NA,TRUE,TRUE,TRUE,"VMR"
"WHYY23575_Wuhan_house_centipede_virus_9_len3563",NA,NA,NA,NA,NA,NA,TRUE,41.2,2.79e-146,689,NA,NA,NA,TRUE,TRUE,"VHDB"
"ref_YP_003038595_Drosophila_A_virus",NA,NA,NA,NA,NA,NA,NA,40.3,3.87e-214,968,NA,NA,NA,NA,TRUE,"PROPAGATED_ITER1"
"ref_NP_573541_Euprosterna_elaeasa_virus",3,TRUE,67.7,0,1250,2,TRUE,67.7,0,1250,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_AF282930_Thosea_asigna_virus",3,TRUE,67.7,0,1250,2,TRUE,67.7,0,1250,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_AKH40283_Newfield_virus",NA,NA,NA,NA,NA,NA,TRUE,40.6,4.91e-131,603,NA,NA,NA,TRUE,TRUE,"VHDB"
"ref_YP_009182196_Daeseongdong_virus_2",NA,NA,NA,NA,NA,NA,NA,40.2,4.4e-210,987,NA,NA,NA,NA,TRUE,"PROPAGATED_ITER1"
"ref_YP_009179352_Aphis_glycines_virus_1",NA,NA,NA,NA,NA,NA,NA,82,0,1119,NA,NA,NA,NA,TRUE,"PROPAGATED_ITER1"
"QWX94187_Gonipterus_platensis_bunyan-like_virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHZM9931_Bunya-Arena_Wuhan_insect_virus_16_RdRp_len6683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QTM25853_Bunya-Arena_Hubei_bunya-like_virus_3_RdRp_len7806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arthropodmix14045_Bunya-Arena_Hubei_insect_virus_1_RdRp_len7035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QTM26385_Bunya-Arena_Hubei_bunya-like_virus_2_RdRp_len7648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QTM27285_Bunya-Arena_Hubei_bunya-like_virus_13_RdRp_len8303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref_GAQJ01008681_Ostrinia_furnacalis",1,TRUE,42.4,0,2223,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,"VMR"
"ref_GAIX01000059_Pararge_aegeria",1,TRUE,41.2,0,2181,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,"VMR"
"ref_insectZJ98059_Bunya-Arena_Shuangao_Insect_Virus_3_KM817681_len6276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UHR49871_Fushun_hierodula_formosana_phenuivirus_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YP_009664615_Cumuto_virus",11,TRUE,45.2,0,2069,NA,NA,43.2,0,1933,NA,NA,TRUE,NA,TRUE,"VMR"
"ref_KF543244_Cumuto_virus",11,TRUE,45.2,0,2069,NA,NA,43.2,0,1933,NA,NA,TRUE,NA,TRUE,"VMR"
"ref_AEJ38175_Gouleako_virus",11,TRUE,42.4,0,2099,NA,NA,44.4,0,2081,NA,NA,TRUE,NA,TRUE,"VMR"
"ref_WHCCII12630_Bunya-Arena_Yichang_Insect_virus_RdRp_KM817703_len6421",11,TRUE,43.2,0,2072,NA,TRUE,44.4,0,2082,NA,NA,TRUE,TRUE,TRUE,"VMR"
"SHWC01c3680_Bunya-Arena_Shahe_heteroptera_virus_3_RdRp_len6758",7,TRUE,41.2,0,2080,NA,TRUE,41.2,0,2080,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_NP_620522_Rice_stripe_virus",8,FALSE,45.9,0,2903,0,FALSE,58.2,0,2938,NA,NA,FALSE,FALSE,FALSE,"VMR"
"ref_NP_058528_Rice_grassy_stunt_virus",6,TRUE,100,0,2925,0,FALSE,100,0,2925,NA,NA,TRUE,FALSE,TRUE,"VMR"
"SCM51446_Bunya-Arena_Hubei_bunya-like_virus_1_len6804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WLJQ104070_Bunya-Arena_Wenling_crustacean_virus_7_RdRp_len6512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref_shrimp6191_Bunya-Arena_Whenzhou_Shrimp_Virus_1_RdRp_KM817686_len6284",3,TRUE,100,0,2051,NA,NA,100,0,2051,NA,NA,TRUE,NA,TRUE,"VMR"
"ref_liyanpi39952_Bunya-Arena_Bole_Tick_Virus_1_RdRp_KM817664_Len6483",15,TRUE,40.1,0,1909,2,TRUE,40.1,0,1909,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_tick108810_Bunya-Arena_Lihan_Tick_Virus_RdRp_KM817672_len6517",19,TRUE,40.1,0,2001,2,FALSE,40.1,0,2001,NA,NA,TRUE,FALSE,TRUE,"VMR"
"ref_tick108443_Bunya-Arena_Changping_Tick_Virus_1_RdRp_KM817665_len6637",28,TRUE,40.2,0,1972,4,FALSE,40.2,0,1972,NA,NA,TRUE,FALSE,TRUE,"VMR"
"ref_tick109093_Bunya-Arena_Tacheng_Tick_Virus_2_RdRp_KM817684_len6660",28,TRUE,40.1,0,1975,4,FALSE,40.1,0,1975,NA,NA,TRUE,FALSE,TRUE,"VMR"
"ref_tick99771_Bunya-Arena_Dabieshan_Tick_Virus_RdRp_KM817666_len6549",6,TRUE,40.7,0,1985,1,FALSE,40.7,0,1985,NA,NA,TRUE,FALSE,TRUE,"VMR"
"ref_tick105694_Bunya-Arena_Yongjia_Tick_Virus_1_RdRp_KM817704_len6527",6,TRUE,40.2,0,2156,2,TRUE,40.2,0,2156,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_NP_941973_Uukuniemi_virus",40,TRUE,40.2,0,2008,NA,TRUE,40.2,0,2008,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_AFH08732_Grand_Arbaud_virus",35,TRUE,40.9,0,1910,NA,FALSE,40.9,0,1910,NA,NA,TRUE,FALSE,TRUE,"VMR"
"ref_KM817668_Huangpi_Tick_Virus_2",32,TRUE,46.2,0,2130,NA,FALSE,46.2,0,2130,NA,NA,TRUE,FALSE,TRUE,"VMR"
"ref_YP_004414703_Aguacate_virus",61,TRUE,57,0,2091,12,TRUE,56,0,2092,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_YP_003848704_Rift_Valley_fever_virus",61,TRUE,58,0,2096,12,TRUE,57,0,2098,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_YP_004347993_Candiru_virus",60,FALSE,56.4,0,2091,13,FALSE,55.7,0,2092,NA,NA,FALSE,FALSE,FALSE,"VMR"
"ref_YP_004382743_Sandfly_fever_Turkey_virus",61,TRUE,55.1,0,2081,11,TRUE,54.2,0,2098,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_YP_089669_Sandfly_fever_Naples_virus",63,TRUE,53.1,0,2104,13,TRUE,52.4,0,2090,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_AFH88999_Saint_Floris_virus",59,TRUE,53,0,2104,11,FALSE,53.4,0,2111,NA,NA,TRUE,FALSE,TRUE,"VMR"
"ref_YP_008719916_Razdan_virus",10,TRUE,69.4,0,2085,2,TRUE,69.4,0,2085,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_YP_008003507_Lone_Star_virus",10,TRUE,68.8,0,2085,2,FALSE,68.8,0,2085,NA,NA,TRUE,FALSE,TRUE,"VMR"
"ref_YP_006504091_SFTS_virus",8,TRUE,65.4,0,2086,2,TRUE,65.5,0,2086,NA,NA,TRUE,TRUE,TRUE,"VMR"
"SCM17647_Bunya-Arena_Hubei_diptera_virus_3_RdRp_len6742",3,TRUE,100,0,2161,NA,NA,100,0,2161,NA,NA,TRUE,NA,TRUE,"VMR"
"SCM94992_Bunya-Arena_Hubei_diptera_virus_4_RdRp_len6947",3,TRUE,100,0,2238,NA,NA,100,0,2238,NA,NA,TRUE,NA,TRUE,"VMR"
"QIC54212_Wutai_mosquito_phasivirus",11,TRUE,53.8,0,2178,NA,TRUE,55.6,0,2219,NA,NA,TRUE,TRUE,TRUE,"VMR"
"ref_mosHB136809_Bunya-Arena_Wutai_Mosquito_Virus_RdRp_KM817700_len6745",11,TRUE,54.1,0,2174,NA,TRUE,56.3,0,2171,NA,NA,TRUE,TRUE,TRUE,"VMR"
"QEM39234_Phasi_Charoen-like_phasivirus",11,TRUE,56.3,0,2159,NA,NA,56.3,0,2159,NA,NA,TRUE,NA,TRUE,"VMR"
"QHT65014_Phasi_Charoen-like_phasivirus",11,TRUE,56.1,0,2180,NA,NA,56.1,0,2180,NA,NA,TRUE,NA,TRUE,"VMR"
"QKV44105_Phasi_Charoen-like_phasivirus",11,TRUE,56.2,0,2172,NA,NA,56.2,0,2172,NA,NA,TRUE,NA,TRUE,"VMR"
"QKV44093_Phasi_Charoen-like_phasivirus",11,TRUE,56.1,0,2172,NA,NA,56.1,0,2172,NA,NA,TRUE,NA,TRUE,"VMR"
"SCM245062_Bunya-Arena_Hubei_diptera_virus_5_RdRp_len6974",3,TRUE,100,0,2256,NA,NA,100,0,2256,NA,NA,TRUE,NA,TRUE,"VMR"
"ref_fly38845_Bunya-Arena_Wuhan_Fly_Virus_1_RdRp_KM817689_len6779",3,TRUE,100,0,2192,NA,NA,100,0,2192,NA,NA,TRUE,NA,TRUE,"VMR"
"ref_AEF56734_Soybean_cyst_nematode_associated_Uukuniemi_virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JMYJCC72107_Bunya-Arena_Jingmen_ascaridia_virus_1_len6946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYJFC48558_Bunya-Arena_Shayang_bunya-like_virus_1_len6928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XZSJSC18544_Bunya-Arena_Xinzhou_bunya-like_virus_1_len6761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XZSJSC64965_Bunya-Arena_Xinzhou_bunya-like_virus_2_len6162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref_horsefly105120_Bunya-Arena_Wuhan_horsefly_Virus_KM817690_RdRp_len9549",4,TRUE,100,0,3117,NA,NA,100,0,3117,NA,NA,TRUE,NA,TRUE,"VMR"
"ref_CC64393_Bunya-Arena_Wuhan_Louse_Fly_Virus_2_RdRp_KM817694_len7082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LCM141331_Bunya-Arena_Hubei_lepidoptera_virus_1_L_len7541",3,TRUE,100,0,2400,NA,NA,100,0,2400,NA,NA,TRUE,NA,TRUE,"VMR"
"BHTSS17606_Bunya-Arena_Beihai_bunya-like_virus_1_RdRp_len6576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref_WHCC118219_Bunya-Arena_Wuhan_insect_virus_32_RdRp_KM817695_len6809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref_WHCC118143_Bunya-Arena_Wuhan_Insect_virus_1_RdRp_KM817691_len6520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
