virus_name	contig_name	length	prop_masked_host	prop_masked_reciprocal	prop_masked_all
hepe0021	20SYSR0624_14949_multi15_len4746_hepe0021	4746	0.0	0.0	0.0
hepe0033	20JXAW0094_18228_multi581_len14676_hepe0033	14654	0.0	0.0	0.0
hepe0010	20BJKW0483_2075_multi550_len14498_hepe0010	14498	0.0	0.06842323079045386	0.06842323079045386
hepe0063	20AHKW0206_25593_multi15_len4618_hepe0063	4618	0.0	0.0	0.0
hepe0022	20YZLK4KW3336_1682_multi9406_len9449_hepe0022	9449	0.0	0.015663033125198435	0.015663033125198435
hepe0026	20YZBMKW3432_8876_multi4_len1090_hepe0026	1090	0.0	0.0	0.0
hepe0051	19LCMBCSDH1650_7711_multi16_len5962_hepe0051	5962	0.0	0.0872190540087219	0.0872190540087219
hepe0042	20YZCYZLKW3430_15384_multi40_len7673_hepe0042	7673	0.0	0.04691776358660237	0.04691776358660237
hepe0005	19SYSDH1013_2361_multi3073_len11182_hepe0005	10904	0.007978723404255319	0.058694057226705794	0.06667278063096112
hepe0027	21HLECQBMKW3521_17416_multi1532_len10414_hepe0027	10298	0.0	0.0	0.0
hepe0041	19MHMHCSDH1687_16113_multi8_len6200_hepe0041	6200	0.0	0.05741935483870968	0.05741935483870968
hepe0007	19XZKW1052_12977_multi3605_len11009_hepe0007	10932	0.0	0.007866813025978778	0.007866813025978778
hepe0019	20DHMAW1413_1448_multi7817_len13978_hepe0019	10020	0.007984031936127744	0.0	0.007984031936127744
hepe0018	19HENSDH1971_11520_multi4015_len11752_hepe0018	10721	0.0	0.011379535491092248	0.011379535491092248
hepe0056	20NXYW0340_5327_multi553_len10117_hepe0056	9910	0.0	0.0	0.0
hepe0031	19HEBKW2001_5274_multi97_len6124_hepe0031	6124	0.0	0.0	0.0
hepe0016	19LCMBCSDH1652_10457_multi50_len5931_hepe0016	5931	0.0	0.013488450514247175	0.013488450514247175
hepe0064	20GZKW0435_29215_multi29_len5568_hepe0064	5463	0.0	0.0	0.0
hepe0028	20RLSDH1426_13760_multi38_len7018_hepe0028	7018	0.0	0.0	0.0
hepe0046	20GXSDH0501_18597_multi199_len14432_hepe0046	14432	0.0	0.05266075388026607	0.05266075388026607
hepe0057	21HNHK4YW0087_15296_multi15_len2517_hepe0057	2517	0.0	0.0	0.0
hepe0053	20LKKW1565_13830_multi10_len4248_hepe0053	4248	0.0	0.1318267419962335	0.1318267419962335
hepe0050	20HENKW0294_4037_multi2162_len9595_hepe0050	9451	0.0	0.0	0.0
hepe0062	20GZKW0428_35461_multi13_len4898_hepe0062	4898	0.0	0.0	0.0
hepe0066	21JGDQWCGAW3542_312_multi233_len10741_hepe0066	10741	0.0	0.0	0.0
hepe0069	21HNWC4SR0194_2093_multi20_len5625_hepe0069	5625	0.0	0.0	0.0
hepe0029	20MDMAW1302_12623_multi532_len9088_hepe0029	9069	0.06174881464329033	0.0	0.06174881464329033
hepe0024	20CY1YW1507_15161_multi678_len9860_hepe0024	9850	0.0	0.0	0.0
hepe0012	20AHSR0226_20292_multi131_len9420_hepe0012	9420	0.0	0.0	0.0
hepe0030	19MHMZJZKW1707_7127_multi7300_len8294_hepe0030	7370	0.0	0.0	0.0
hepe0008	20CY1YW1501_2059_multi2562_len12091_hepe0008	10952	0.0	0.007304601899196494	0.007304601899196494
hepe0015	20HUNAW0148_12942_multi7746_len9334_hepe0015	9189	0.0	0.0	0.0
hepe0076	19LCFYBGKW1612_16375_multi72_len16044_hepe0076	16044	0.0	0.0	0.0
hepe0077	19MHMHCSDH1682_667_multi15_len6156_hepe0077	6156	0.0	0.0	0.0
hepe0075	19SCSDH0856_26182_multi25_len12660_hepe0075	12660	0.0	0.0	0.0
hepe0071	19MHMZJZSDH1721_26418_multi7_len2364_hepe0071	2364	0.0	0.0	0.0
hepe0068	20YZXCYYW3399_12358_multi27_len3970_hepe0068	3970	0.0	0.0	0.0
hepe0073	19LCMBCSDH1652_18269_multi61_len11503_hepe0073	11503	0.0	0.0	0.0
hepe0065	20GZKW0435_6489_multi12_len2999_hepe0065	2999	0.0	0.0	0.0
hepe0072	19LCMBCKW1646_969_multi3_len1047_hepe0072	1047	0.0	0.0	0.0
hepe0025	21HNHK3BM10069_836_multi1268_len11271_hepe0025	10627	0.0	0.007527994730403689	0.007527994730403689
hepe0037	20YZLK7KW3377_2044_multi11_len3039_hepe0037	3039	0.1832839749917736	0.0	0.1832839749917736
hepe0020	20MYDBM1167_4894_multi305_len10237_hepe0020	10237	0.0	0.028035557292175443	0.028035557292175443
hepe0013	20PMYW1451_18003_multi5345_len12382_hepe0013	10885	0.0	0.0	0.0
hepe0011	20DHMSR1404_8772_multi2725_len11804_hepe0011	11643	0.0	0.0	0.0
hepe0048	20GXYW0497_9882_multi4_len1000_hepe0048	1000	0.0	0.0	0.0
hepe0047	19SYKW1003_16853_multi14_len6693_hepe0047	6693	0.0	0.0	0.0
hepe0045	20GXYW0497_16092_multi5_len1231_hepe0045	1231	0.0	0.0	0.0
hepe0044	19GSSR0891_7918_multi72_len6259_hepe0044	6259	0.0	0.0	0.0
hepe0080	21MZLZQBM3506_15975_multi11_len2038_hepe0080	2038	0.0	0.0	0.0
hepe0081	21JGDQWCGCRYW3550_14306_multi29443_len9075_hepe0081	9075	0.0	0.0	0.0
hepe0084	21ARQ1BM3475_5844_multi6335_len12741_hepe0084	10711	0.0	0.06722061432172532	0.06722061432172532
hepe0085	20YZLK7KW3373_27704_multi1209_len10689_hepe0085	10614	0.0	0.0	0.0
hepe0086	21JGDQWCGAW3543_12664_multi801_len10022_hepe0086	10022	0.0	0.0	0.0
luteo0001	19SAXYW1851_52366_multi6829_len3634_luteo0001	2975	0.0	0.07226890756302522	0.07226890756302522
luteo0002	19MHMHCSDH1674_6451_multi147_len3132_luteo0002	3053	0.0	0.05240746806419915	0.05240746806419915
luteo0009	20AHSR0227_37393_multi149_len2792_luteo0009	2790	0.0	0.05734767025089606	0.05734767025089606
luteo0011	20NXSR0358_3519_multi3824_len4623_luteo0011	2796	0.0	0.0	0.0
luteo0006	20SCSDH0030_3139_multi4847_len4239_luteo0006	2836	0.0	0.0	0.0
luteo0016	21HLECQBMKW3519_26065_multi4284_len3476_luteo0016	2900	0.0	0.0	0.0
luteo0013	20MXCSDH1319_1776_multi1024_len2927_luteo0013	2827	0.0	0.0	0.0
luteo0051	20WDSR1354_18156_multi174_len2783_luteo0051	2783	0.0	0.05749191519942508	0.05749191519942508
luteo0012	20MDXBM1215_11664_multi96_len2966_luteo0012	2966	0.0	0.0	0.0
luteo0004	19HEBSR2014_10359_multi3044_len4770_luteo0004	2981	0.0	0.0	0.0
luteo0018	20SCAW0045_42035_multi13748_len6219_luteo0018	4966	0.016109544905356425	0.0	0.016109544905356425
luteo0008	20CY2KW1547_5451_multi1123_len2908_luteo0008	2908	0.0	0.0	0.0
luteo0019	19LCMBCSDH1650_13510_multi5_len1306_luteo0019	1198	0.0	0.0	0.0
luteo0023	20MYRKW1088_8090_multi21_len2680_luteo0023	2680	0.0	0.0	0.0
luteo0030	21JGDQWCGCRYW3550_6750_multi5540_len3534_luteo0030	2694	0.0	0.0	0.0
luteo0005	19MHMZJZYW1702_10079_multi4265_len3149_luteo0005	3149	0.0	0.06351222610352493	0.06351222610352493
luteo0050	19LCFBCBM1645_15557_multi5662_len3171_luteo0050	3171	0.0	0.02522863450015768	0.02522863450015768
luteo0007	20DHMKW1384_12730_multi9_len2760_luteo0007	2760	0.0	0.0	0.0
luteo0003	20MDXYW1170_10125_multi2816_len3456_luteo0003	3111	0.03150112504018	0.06428801028608165	0.09578913532626165
luteo0015	19MHMZJZYW1702_16657_multi12_len2776_luteo0015	2776	0.0	0.0	0.0
luteo0020	20MBBSDH1226_6564_multi11_len2645_luteo0020	2645	0.0	0.0	0.0
luteo0010	20NXKW0351_29391_multi25_len3245_luteo0010	3245	0.0	0.08628659476117104	0.08628659476117104
luteo0032	20YZXCYKW3395_3214_multi1683_len3092_luteo0032	3092	0.0	0.0	0.0
luteo0022	19XJYW1043_1969_multi6_len1988_luteo0022	1988	0.0	0.0	0.0
luteo0033	21JGDQWCGCRYW3550_10805_multi10007_len3625_luteo0033	3625	0.0	0.0	0.0
luteo0031	20YZCYBGKW3404_8971_multi10_len2798_luteo0031	2798	0.0	0.0	0.0
narna0001	20YZZGSR3389_27221_multi5838_len2942_narna0001	2011	0.0	0.0	0.0
narna0005	19NXKW0895_8906_multi406_len3253_narna0005	3228	0.0	0.0	0.0
narna0009	20CY1SR1532_4117_multi464_len3620_narna0009	3620	0.0	0.0	0.0
narna0012	20JXAW0094_416_multi1299_len3039_narna0012	2941	0.0	0.06800408024481469	0.06800408024481469
narna0016	20YZLL2BM3464_9381_multi2931_len3601_narna0016	3120	0.0	0.0	0.0
narna0013	20BJKW0483_13673_multi3747_len3694_narna0013	2817	0.0	0.09904153354632587	0.09904153354632587
narna0010	21ARQ1BMKW3481_17788_multi337_len5168_narna0010	2957	0.0	0.0	0.0
narna0002	20MYRYW1082_1938_multi4625_len2153_narna0002	2093	0.0	0.0	0.0
narna0019	20SYSDH0616_13504_multi30_len3130_narna0019	3130	0.0	0.0	0.0
narna0030	19SCSDH0857_4354_multi65_len3398_narna0030	3398	0.0	0.0	0.0
narna0020	19JXSDH0916_21983_multi365_len2571_narna0020	2571	0.0	0.0	0.0
narna0033	19MHMHCSDH1676_38846_multi118_len3122_narna0033	3122	0.0	0.0	0.0
narna0032	19JXAW0924_17694_multi80_len2399_narna0032	2399	0.0	0.0	0.0
narna0006	20HKSDH0657_21443_multi26_len2820_narna0006	2820	0.0	0.0	0.0
narna0060	20YZXCYYW3401_20628_multi53_len3072_narna0060	3064	0.0	0.0	0.0
narna0034	19WHSDH1910_11080_multi91_len2713_narna0034	2693	0.0	0.0	0.0
narna0036	19LCFYBGKW1613_12782_multi8_len2623_narna0036	2623	0.0	0.0	0.0
narna0028	20GZSDH0441_5012_multi23_len3416_narna0028	3416	0.0	0.0	0.0
narna0035	19XJYW1038_277_multi9_len2681_narna0035	2681	0.0	0.0	0.0
narna0022	19JXAW0924_3430_multi25_len3303_narna0022	3303	0.0	0.0	0.0
narna0003	20MGLBM1324_10659_multi2963_len2323_narna0003	2222	0.04410441044104411	0.45004500450045004	0.49414941494149417
narna0008	20WDSR1354_9369_multi3930_len3444_narna0008	3128	0.0	0.02557544757033248	0.02557544757033248
narna0024	19QDKW2038_10260_multi11_len2345_narna0024	2345	0.0	0.0	0.0
narna0039	20HKSDH0657_13010_multi22_len2035_narna0039	2035	0.0	0.0	0.0
narna0023	19XJYW1041_882_multi49_len2678_narna0023	2678	0.0	0.0	0.0
narna0007	20HKBM0690_36801_multi5677_len2451_narna0007	2451	0.041207670338637294	0.0	0.041207670338637294
narna0011	19MHMHCAW1692_24133_multi1315_len3161_narna0011	3161	0.0	0.0	0.0
narna0062	21JGDQWCGCRYW3550_12978_multi458_len2453_narna0062	2226	0.0	0.03593890386343217	0.03593890386343217
narna0017	20SCYW0002_26135_multi993_len3028_narna0017	3028	0.0	0.0	0.0
narna0061	21ARQ1BMKW3476_3196_multi19_len3301_narna0061	3301	0.0	0.0	0.0
narna0065	21JGDQWCGCRYW3550_5618_multi1914_len2504_narna0065	2504	0.0	0.09424920127795527	0.09424920127795527
narna0044	19HEBKW2004_22371_multi89_len3608_narna0044	3608	0.0	0.0	0.0
narna0046	19MHDMCLYW1668_11130_multi52_len3608_narna0046	3608	0.0	0.0	0.0
narna0041	19HUNAW0975_21743_multi20_len2122_narna0041	2122	0.0	0.0	0.0
narna0042	19HUNAW0975_3318_multi7_len2053_narna0042	2053	0.0	0.0	0.0
narna0052	20MJJBM1329_13051_multi8_len1563_narna0052	1563	0.0	0.0	0.0
narna0101	20DHMYW1375_15794_multi820_len3236_narna0101	3134	0.0	0.0	0.0
narna0031	20LKWZKW1574_20594_multi33_len3504_narna0031	3504	0.0	0.0	0.0
narna0069	21ARQ1BMKW3481_16890_multi635_len4083_narna0069	3657	0.0	0.0	0.0
narna0066	21ARQ1BMKW3481_7023_multi61_len3195_narna0066	3195	0.0	0.0	0.0
narna0067	21MZLZQBM3515_19511_multi32_len2960_narna0067	2960	0.0	0.0	0.0
narna0068	21JGDQWCGCRYW3549_10947_multi29_len2688_narna0068	2688	0.0	0.02976190476190476	0.02976190476190476
narna0026	20LKWZKW1574_15562_multi38_len3208_narna0026	3171	0.0	0.0	0.0
narna0064	21MZLZQBM3515_14398_multi65_len3350_narna0064	3350	0.0	0.0	0.0
nido0001	20YZLK1KW3321_2009_multi125_len20164_nido0001	20109	0.0	0.005967477248992988	0.005967477248992988
nido0002	21JGDQWCGCRYW3548_13151_multi21_len3019_nido0002	3019	0.0	0.13249420337860218	0.13249420337860218
hepe0054	21JGDQWCGCRYW3550_11727_multi20721_len1987_nido0002	1987	0.0	0.12078510317060896	0.12078510317060896
partiti0001	20SHYW0155_23037_multi1532_len1958_partiti0001	1794	0.0	0.0	0.0
partiti0002	20LKYW1486_10591_multi780_len1717_partiti0002	1698	0.0	0.0	0.0
partiti0007	20RLSDH1420_387_multi3616_len1940_partiti0007	1722	0.0	0.0	0.0
partiti0012	20MJJBM1328_18002_multi408_len1500_partiti0012	1483	0.0	0.0	0.0
partiti0024	21ARQ1BM3475_14971_multi402_len1723_partiti0024	1700	0.0	0.047058823529411764	0.047058823529411764
partiti0013	20RLAW1437_14214_multi5_len1423_partiti0013	1410	0.0	0.0	0.0
partiti0016	19MHMZJZAW1745_8040_multi10286_len1923_partiti0016	1750	0.0	0.0	0.0
partiti0018	19XJYW1043_4606_multi765_len2158_partiti0018	1461	0.0	0.10951403148528405	0.10951403148528405
partiti0008	20GXSDH0500_5146_multi5356_len2637_partiti0008	1426	0.0	0.0	0.0
partiti0046	19SCAW0874_25820_multi54_len3114_partiti0046	3114	0.0	0.0	0.0
partiti0003	21JGDQWCGCRYW3549_12936_multi786_len1850_partiti0003	1767	0.0	0.0	0.0
partiti0027	21HNLS5SDH0492_15461_multi18_len1714_partiti0027	1669	0.0	0.04793289394847214	0.04793289394847214
partiti0047	19MHMHCAW1692_19225_multi10_len1286_partiti0047	1286	0.0	0.0	0.0
partiti0020	19LCCDCKW1638_46870_multi3401_len1753_partiti0020	1702	0.0	0.0	0.0
partiti0030	20MDMAW1304_5955_multi1403_len1574_partiti0030	1455	0.0	0.0	0.0
partiti0022	20YZLK5SR3346_20164_multi177_len1808_partiti0022	1697	0.5556865055981143	0.0	0.5556865055981143
partiti0049	M20CY2SDH2313_29445_multi245_len1671_partiti0049	1671	0.0	0.0	0.0
partiti0031	M19QDAW1330_5225_multi41_len1457_partiti0031	1457	0.0	0.05490734385724091	0.05490734385724091
partiti0004	19MHMHCSR1688_5430_multi409_len2368_partiti0004	1726	0.0	0.0	0.0
partiti0010	20PMKW1458_16344_multi1947_len1827_partiti0010	1733	0.0	0.0	0.0
partiti0011	19NMKW0982_15185_multi43_len1652_partiti0011	1652	0.0	0.0	0.0
partiti0023	20NBSDH0811_28895_multi31_len1457_partiti0023	1457	0.0	0.05490734385724091	0.05490734385724091
partiti0017	19SCAW0876_20129_multi11797_len6029_partiti0017	1460	0.0636986301369863	0.0	0.0636986301369863
partiti0014	20PMKW1458_27917_multi3880_len1707_partiti0014	1473	0.0	0.05431093007467753	0.05431093007467753
partiti0050	20ZJSDH0270_5077_multi302_len2191_partiti0050	2177	0.0	0.0	0.0
partiti0028	20MDMYW1292_1301_multi2085_len2506_partiti0028	1646	0.0	0.04860267314702309	0.04860267314702309
partiti0025	20GXSDH0508_17904_multi10_len1358_partiti0025	1358	0.0	0.05891016200294551	0.05891016200294551
partiti0052	19MHMZJZSDH1728_2537_multi75_len3185_partiti0052	3185	0.0	0.0	0.0
partiti0009	19HEBBM1993_13723_multi1885_len1994_partiti0009	1717	0.0	0.0	0.0
partiti0051	19LCFYBGKW1613_24052_multi9_len998_partiti0051	998	0.0	0.0	0.0
partiti0043	19MHMZJZSDH1718_9222_multi163_len1811_partiti0043	1803	0.0	0.0	0.0
partiti0042	20MDXAW1204_9296_multi47_len1801_partiti0042	1801	0.0	0.0	0.0
partiti0019	20PMYW1447_2359_multi4_len1806_partiti0019	1785	0.0	0.0	0.0
partiti0005	19XJYW1042_1579_multi7_len1742_partiti0005	1742	0.0	0.0	0.0
partiti0039	21HNSY15YW0635_21502_multi40_len1603_partiti0039	1603	0.0	0.0	0.0
partiti0015	20MDMBM1309_12594_multi87_len1733_partiti0015	1733	0.0	0.0	0.0
partiti0026	20WDSR1356_4890_multi24_len1655_partiti0026	1531	0.05682560418027433	0.0	0.05682560418027433
partiti0032	20RLSDH1418_2681_multi6_len1304_partiti0032	1304	0.0	0.0	0.0
partiti0006	20PMYW1449_14147_multi1350_len2016_partiti0006	2016	0.0	0.0	0.0
partiti0029	20MDMBM1309_3268_multi177_len1703_partiti0029	1703	0.0	0.09395184967704051	0.09395184967704051
partiti0033	20MDXAW1208_128_multi181_len1708_partiti0033	1708	0.0	0.0	0.0
partiti0070	21ARQ1BMKW3476_20899_multi79_len3180_partiti0070	3180	0.0	0.0	0.0
partiti0036	19HUNAW0975_8898_multi16_len1638_partiti0036	1638	0.0	0.0	0.0
partiti0048	19MHMHCAW1692_15424_multi11_len1348_partiti0048	1348	0.0	0.0	0.0
partiti0038	19HUNAW0975_9689_multi8_len1674_partiti0038	1674	0.0	0.0	0.0
partiti0071	21ARQ2BMYW3486_15573_multi2603_len1761_partiti0071	1761	0.0	0.0	0.0
partiti0044	20RLKW1416_5648_multi39_len1585_partiti0044	1585	0.0	0.0	0.0
partiti0073	21MZLZQBMYW3508_15089_multi27_len2397_partiti0073	2397	0.0	0.0	0.0
partiti0060	19MHMZJZSDH1722_7671_multi56_len1745_partiti0060	1745	0.0	0.0	0.0
partiti0074	21MZLZQBMYW3508_20250_multi7_len1506_partiti0074	1506	0.0	0.0	0.0
partiti0063	19XJYW1036_11971_multi5_len1191_partiti0063	1191	0.0	0.0	0.0
partiti0059	19LCFBCKW1641_13051_multi14_len2172_partiti0059	2172	0.0	0.0	0.0
partiti0057	19SAXSDH1866_11815_multi13_len1443_partiti0057	1443	0.0	0.0	0.0
partiti0056	19SAXSDH1865_704_multi5_len1057_partiti0056	1057	0.0	0.0	0.0
partiti0062	20NBSR0819_35796_multi4_len1392_partiti0062	1392	0.0	0.0	0.0
partiti0061	20AHKW0208_6611_multi10_len933_partiti0061	933	0.0	0.0	0.0
partiti0075	21MZLZQBM3507_22150_multi696_len1820_partiti0075	1745	0.0	0.11461318051575932	0.11461318051575932
partiti0054	19SCSDH0857_11731_multi121_len3173_partiti0054	3173	0.0	0.0	0.0
partiti0058	20ZJSDH0270_10871_multi13_len2586_partiti0058	2586	0.0	0.0	0.0
partiti0053	19MHMZJZYW1702_12564_multi2042_len1886_partiti0053	1783	0.0	0.0	0.0
picorna0001	19HEBKW1999_703_multi290_len9778_picorna0001	9778	0.0	0.0	0.0
picorna0002	20SXSR0550_603_multi83_len9150_picorna0002	9150	0.0	0.02185792349726776	0.02185792349726776
picorna0010	19HEBKW2005_1196_multi122_len9866_picorna0010	9691	0.0	0.016510164069755442	0.016510164069755442
picorna0003	21SCKW2698_35014_multi67_len9100_picorna0003	9100	0.0	0.0	0.0
picorna0030	19MHMHCAW1690_2144_multi14_len5582_picorna0030	5582	0.0	0.0	0.0
picorna0040	21MZLZQBM3504_8001_multi1502_len9285_picorna0040	9240	0.0	0.0	0.0
picorna0021	20PMKW1455_13506_multi354_len9697_picorna0021	9697	0.0	0.0	0.0
picorna0018	20SXSR0551_490_multi737_len6008_picorna0018	6008	0.0	0.0	0.0
picorna0011	20SHYW0152_30813_multi89_len9920_picorna0011	9684	0.011771995043370507	0.03242461792647666	0.03242461792647666
picorna0013	20NBOCTAW2541_6559_multi9_len4164_picorna0013	4163	0.0	0.0	0.0
picorna0017	20HUNAW0144_13293_multi31_len9508_picorna0017	9508	0.0	0.0	0.0
picorna0012	M19NBSDH1341_5689_multi28_len6178_picorna0012	6178	0.0	0.03237293622531564	0.03237293622531564
picorna0016	19MHMHCAW1697_29422_multi14_len8140_picorna0016	8140	0.0	0.0	0.0
picorna0015	M19SCAW1316_526_multi119_len8730_picorna0015	8730	0.0	0.0	0.0
picorna0005	21HNLS4YW0484_5890_multi737_len9884_picorna0005	9884	0.0	0.0	0.0
picorna0006	19JHSKW1780_18764_multi31_len7027_picorna0006	7027	0.0	0.011384659171766046	0.011384659171766046
picorna0032	M20HEBBM2299_6089_multi22_len1595_picorna0032	1595	0.0	0.0	0.0
picorna0026	19JHSYW2148_18373_multi12_len5598_picorna0026	5598	0.0	0.0	0.0
picorna0035	M19HENKW1335_59135_multi288_len9959_picorna0035	9959	0.0	0.0	0.0
picorna0034	19HUNYW0942_16574_multi18_len5229_picorna0034	5229	0.0	0.0	0.0
picorna0041	21SCKW2696_33822_multi65_len10079_picorna0041	10079	0.0	0.0	0.0
picorna0009	19SAXKW1860_2016_multi36_len8812_picorna0009	8812	0.0	0.018157058556513846	0.018157058556513846
picorna0007	21HNLS4YW0484_4122_multi64_len6706_picorna0007	6706	0.0	0.0	0.0
picorna0022	20GZAW0460_4985_multi345_len8779_picorna0022	8740	0.0	0.0	0.0
picorna0031	19NMKW0983_14773_multi67_len9033_picorna0031	9033	0.0	0.0	0.0
picorna0023	20HUNAW0143_24908_multi10_len2584_picorna0023	2584	0.0	0.0	0.0
picorna0042	21JGDQWCGBMKW3554_26826_multi401_len11222_picorna0042	11222	0.0	0.0	0.0
picorna0020	20MYDYW1131_5763_multi79_len8951_picorna0020	8951	0.0	0.0	0.0
picorna0004	19HENYW1964_9475_multi85_len9060_picorna0004	8960	0.0	0.026785714285714284	0.026785714285714284
picorna0033	20MJJBM1325_3182_multi12800_len10656_picorna0033	9056	0.0	0.0	0.0
reo0009	20DHMSDH1389_16658_multi255_len4121_reo0009	4016	0.0	0.0	0.0
reo0001	19SCAW0882_7335_multi127_len5179_reo0001	4396	0.02502274795268426	0.04549590536851683	0.04913557779799818
reo0016	20HUNYW0103_17642_multi3312_len4340_reo0016	4189	0.0	0.0	0.0
reo0006	20GZKW0436_17939_multi311_len3712_reo0006	3712	0.0	0.0	0.0
reo0002	M21NBJUNAW1258_40146_multi47_len4508_reo0002	4419	0.02172437202987101	0.03620728671645169	0.03620728671645169
reo0007	20GDYW0733_999_multi2148_len4118_reo0007	3643	0.0	0.0	0.0
reo0010	19SYSDH1014_14260_multi188_len4087_reo0010	3996	0.0	0.0	0.0
reo0017	20WDSDH1343_10864_multi1669_len3813_reo0017	3813	0.0	0.0	0.0
reo0003	20PMYW1451_23633_multi199_len4044_reo0003	4044	0.0	0.0	0.0
reo0004	19LCFBCAW1644_9432_multi1973_len4661_reo0004	4386	0.0	0.0	0.0
reo0011	21BJCZJKW3569_25852_multi111_len3952_reo0011	3952	0.0	0.0	0.0
